playerId,Player,Season,Team,CapHit,CapHit_pct,Season_id,Pos_group,S/C,Age,heightInInches,weightInPounds,GP,TOI/GP,Depth_TOI_rank,PP TOI,PK TOI,Is_ELC,ContractLength,YearsRemaining,WAR_per_GP,EVO WAR,EVD WAR,PP WAR,PK WAR,pointsPerGame,ixG,shots,xGF%,OZ Start%,xG_diff,Hits,HitsT,BkS,TkA,GvA,penaltyMinutes,DZ Start%,Team_pointPct,Team_GF_pct,Team_PP%,Team_PK%,nhl_edge_skatingSpeedMax_mph,nhl_edge_burstsOver20,nhl_edge_topShotSpeed_mph,nhl_edge_totalDistanceSkated_mph,nhl_edge_distanceMaxGame_mph,nhl_edge_zoneTime_offensiveZonePctg
8481556,John Beecher,24-25,BOS,0.92,0.010511,2,C,L,23,75,220,78,11.28,9.0,5.43,116.27,1,3,0,-0.0,-0.25,0.23,-0.0,-0.1,0.14,6.08,44,44.33,9.23,-5.36,85,73,71,14,49,26,56.19,0.46341,0.4503042596348884,0.152173,0.762712,22.81,172.0,85.28,145.39,2.43,0.37
8481237,Kyle MacLean,24-25,NYI,0.78,0.008807,2,C,L,25,73,190,81,9.96,6.0,3.1,23.68,0,3,2,-0.01,-0.55,0.03,-0.0,0.0,0.14,6.02,61,43.11,31.62,-7.08,108,41,29,12,26,14,23.77,0.5,0.4634655532359081,0.125603,0.722223,22.83,147.0,88.53,131.69,2.55,0.38
8479344,Jesse Puljujarvi,24-25,FLA,0.78,0.008807,2,W,R,26,76,201,31,11.78,4.0,29.67,0.0,0,1,0,-0.0,0.07,-0.04,-0.01,0.0,0.32,4.39,50,48.28,23.12,-0.94,80,37,9,3,15,25,24.38,0.59756,0.5245202558635395,0.235294,0.807378,22.66,72.0,83.18,61.92,2.68,0.44
8482144,Jack Thompson,24-25,SJS,0.83,0.009413,2,D,R,22,73,189,31,15.79,8.0,34.58,13.4,1,3,0,0.01,-0.04,0.05,-0.07,-0.01,0.32,1.24,41,46.24,30.64,-2.46,12,44,54,7,37,10,28.32,0.31707,0.4015444015444015,0.18584,0.742188,21.66,20.0,85.6,67.6,2.94,0.41
8483609,Adam Klapka,24-25,CGY,0.78,0.008807,2,W,R,24,80,235,31,9.65,6.0,8.0,0.0,0,1,0,0.01,0.03,-0.04,-0.01,0.0,0.32,4.26,44,45.86,36.59,-1.78,108,34,25,6,11,29,22.76,0.58536,0.4824561403508772,0.2103,0.761062,21.41,33.0,91.71,49.25,2.85,0.43
8482132,Brett Berard,24-25,NYR,0.87,0.009858,2,W,L,22,69,175,35,10.71,6.0,2.95,0.03,1,3,1,0.01,0.1,-0.23,0.0,-0.0,0.29,4.93,59,43.69,33.7,-4.07,53,36,20,7,18,8,23.91,0.51829,0.5,0.17619,0.803348,22.93,62.0,84.47,60.93,2.67,0.38
8477851,Jordan Oesterle,24-25,NSH,0.78,0.008807,2,D,L,32,72,181,37,17.15,7.0,9.22,18.35,0,2,1,0.02,-0.06,-0.02,0.0,-0.0,0.27,1.46,38,47.7,25.0,-2.2,27,73,57,15,51,4,31.36,0.41463,0.4362139917695473,0.219298,0.814815,21.28,23.0,96.3,92.36,3.21,0.44
8476994,Vinnie Hinostroza,24-25,MIN,0.78,0.008807,2,C,R,30,70,183,38,13.02,4.0,45.98,0.02,0,2,1,0.01,0.17,0.05,0.1,-0.0,0.26,5.93,48,52.44,30.36,1.68,41,42,12,8,31,10,29.02,0.59146,0.4880694143167028,0.208737,0.724138,23.18,106.0,84.84,86.84,3.03,0.43
8479395,Dennis Cholowski,24-25,NJD,0.61,0.006926,2,D,L,26,74,210,39,13.07,9.0,46.88,0.9,0,1,0,0.01,-0.13,0.12,-0.02,0.0,0.26,1.2,30,48.14,37.01,-1.19,5,31,33,8,38,10,16.88,0.55487,0.5217391304347826,0.282407,0.826667,20.5,2.0,88.66,74.72,3.31,0.43
8481527,Kaedan Korczak,24-25,VGK,0.82,0.009375,2,D,R,23,75,206,40,15.07,7.0,1.72,9.47,0,2,1,0.01,0.02,0.35,0.0,0.0,0.25,1.12,34,54.8,28.28,4.23,59,69,40,7,36,2,23.79,0.67073,0.5614754098360656,0.283422,0.757397,22.06,26.0,82.8,87.06,2.73,0.4
8480980,Connor Dewar,24-25,PIT,1.18,0.013409,2,C,L,25,70,187,48,11.56,6.0,1.15,75.58,0,1,0,-0.01,-0.12,0.01,-0.0,-0.09,0.21,6.92,55,42.95,15.32,-4.67,129,48,37,6,36,14,35.74,0.4878,0.4574669187145557,0.257918,0.777778,22.09,55.0,81.34,88.25,2.82,0.4
8474673,TJ Brodie,24-25,CHI,3.75,0.042614,2,D,L,34,74,187,54,15.63,9.0,2.33,25.32,0,2,1,0.0,-0.14,0.2,-0.0,0.0,0.19,1.47,23,44.13,27.37,-7.48,16,96,58,14,46,18,30.88,0.37195,0.4341085271317829,0.248677,0.792952,21.8,9.0,81.94,117.61,2.77,0.41
8479414,Nathan Bastian,24-25,NJD,1.35,0.015341,2,W,R,26,76,205,59,10.94,9.0,7.87,40.32,0,2,0,-0.01,-0.2,0.04,0.0,0.02,0.17,7.85,44,45.61,23.31,-3.41,138,64,27,2,24,31,27.82,0.55487,0.5217391304347826,0.282407,0.826667,21.62,44.0,81.76,102.48,2.57,0.41
8480035,Henri Jokiharju,24-25,BOS,3.1,0.035227,2,D,R,25,72,205,60,17.83,7.0,19.6,49.92,0,1,0,0.01,-0.01,0.49,-0.01,-0.15,0.17,2.22,59,50.52,26.76,0.79,50,83,53,13,64,14,30.55,0.46341,0.4503042596348884,0.152173,0.762712,22.74,26.0,89.92,157.99,3.64,0.43
8476856,Mathew Dumba,24-25,DAL,3.75,0.042614,2,D,R,30,73,185,63,15.3,6.0,34.35,19.22,0,2,1,-0.02,-0.09,-0.47,0.05,-0.01,0.16,3.02,57,48.68,31.65,-2.1,70,95,60,16,62,60,26.06,0.64634,0.5533199195171026,0.22,0.820176,21.24,15.0,97.77,135.04,3.04,0.42
8479291,Kevin Rooney,24-25,CGY,1.3,0.014773,2,C,L,31,74,190,70,9.42,8.0,5.72,130.42,0,1,0,0.0,-0.33,0.08,-0.0,0.3,0.14,4.98,54,40.95,22.11,-5.88,109,70,39,9,30,14,33.68,0.58536,0.4824561403508772,0.2103,0.761062,22.1,93.0,79.46,117.36,2.26,0.39
